Unnamed: 0,Time,Date,Latitude,Longitude,Total PDCP DL Throughput,Total PDCP UL Throughput,PDSCH Phy Throughput (kbps),PUSCH Phy Throughput (kbps),PDSCH Resource Blocks Allocated (Allocated Subframes Only),PDSCH Resource Block Allocation (%),PUSCH Resource Blocks Allocated (Allocated Subframes Only),Number of PUSCH Resource Blocks,Number of PDSCH Resource Blocks,PDCP Throughput DL (kbps),PDCP Throughput UL (kbps),PHY Layer Throughput PDSCH (kbps),PHY Layer Throughput PUSCH (kbps),RLC Throughput DL (kbps)(LTE Throughputs from Data Collector),RLC Throughput UL (kbps)(LTE Throughputs from Data Collector),Ping Delay (ms)
,36:13.0,3/21/2022,7.306893879,5.139811121,0.779999971,1.129999995,4.889999866,186.1600037,7.900000095,0.479999989,2,0.400000006,0.200000003,0.779999971,0.810000002,3.289999962,186.9100037,0.99000001,0.839999974,
,36:15.0,3/21/2022,7.306893758,5.139811242,0.779999971,1.039999962,5.900000095,183.2100067,7,0.519999981,2,0.400000006,0.300000012,0.779999971,1.039999962,5.320000172,187.1000061,0.649999976,1.580000043,
,36:17.0,3/21/2022,7.306893636,5.139811364,0.779999971,1.039999962,2.640000105,185.9299927,6.699999809,1.139999986,2.099999905,0.400000006,0.600000024,0.779999971,1.570000052,20.44000053,189.5800018,0.649999976,0.75999999,
,36:19.0,3/21/2022,7.306893515,5.139811485,1.460000038,2.609999895,6.449999809,185.1699982,7.599999905,0.529999971,2,0.400000006,0.300000012,1.460000038,2.24000001,5.559999943,187.3000031,1.809999943,3.039999962,
,36:21.0,3/21/2022,7.306893394,5.139811606,0.779999971,2.430000067,6.019999981,182.5200043,4,0.379999995,2,0.400000006,0.200000003,0.629999995,1.950000048,22.20999908,186.8600006,1,2.140000105,
,36:23.0,3/21/2022,7.306893273,5.139811727,0.779999971,2.109999895,4.800000191,182.8600006,8,0.569999993,2,0.400000006,0.300000012,0.779999971,2.430000067,6.489999771,186.6300049,0.680000007,2.299999952,
,36:25.0,3/21/2022,7.306893152,5.139811848,0.779999971,1.899999976,8.550000191,184.8800049,6.800000191,1.110000014,2,0.400000006,0.600000024,1.049999952,2.099999905,23.54999924,188.4299927,0.649999976,2.430000067,
,36:27.0,3/21/2022,7.30689303,5.13981197,0.389999986,1.980000019,6.949999809,183.1000061,8,1.100000024,2,0.400000006,0.600000024,0.519999981,1.980000019,22.79000092,188.5700073,1.00999999,2.339999914,
,36:29.0,3/21/2022,7.306894929,5.139812643,1.460000038,2.289999962,3.980000019,185.2200012,5.599999905,0.50999999,2,0.400000006,0.300000012,1.460000038,2.289999962,94.16000366,187.3500061,1.159999967,2.569999933,
,36:31.0,3/21/2022,7.3068975,5.1398135,0.779999971,2.710000038,6.599999905,183.8800049,8.899999619,0.889999986,2,0.400000006,0.400000006,0.779999971,2.710000038,11.35000038,187.6199951,1,1.970000029,
,36:33.0,3/21/2022,7.306900071,5.139814357,0.779999971,1.679999948,4.440000057,182.1799927,8.800000191,0.550000012,2,0.400000006,0.300000012,0.629999995,1.389999986,5.179999828,187.1100006,0.670000017,2.430000067,
,36:35.0,3/21/2022,7.3069075,5.1398175,0.779999971,1.090000033,2.450000048,181.1900024,12.80000019,4.920000076,2,0.400000006,2.5,1.049999952,1.389999986,2.779999971,184.8600006,0.980000019,0.839999974,
,36:37.0,3/21/2022,7.3069315,5.1398255,0.779999971,1.039999962,1.929999948,182.9799957,9,0.519999981,2,0.400000006,0.300000012,0.779999971,0.829999983,2.769999981,186.7799988,0.649999976,1.139999986,
,36:41.0,3/21/2022,7.306974,5.1398645,1.139999986,2.460000038,4.03000021,182.3300018,9.300000191,3.859999895,2,0.400000006,1.899999976,0.779999971,1.679999948,3.420000076,186.0899963,1.24000001,2.130000114,
,36:43.0,3/21/2022,7.3069675,5.1399,0.779999971,2.109999895,4.090000153,183.3000031,8.800000191,1.330000043,2,0.400000006,0.699999988,0.790000021,1.960000038,13.26000023,188.2899933,1.340000033,3.059999943,
,36:45.0,3/21/2022,7.306948,5.139938,0.779999971,1.409999967,2.539999962,183.9400024,9.699999809,1.590000033,2,0.400000006,0.800000012,0.779999971,1.039999962,2.670000076,187.1000061,0.670000017,1.299999952,
,36:47.0,3/21/2022,7.3069265,5.1399815,0.779999971,1.039999962,2.75999999,183.8000031,7,2.690000057,2,0.400000006,1.299999952,0.629999995,1.039999962,1.889999986,187.1300049,0.649999976,1.139999986,
,36:49.0,3/21/2022,7.306903,5.1400315,0.779999971,1.090000033,3.49000001,185.5500031,15.19999981,1.25999999,2,0.400000006,0.600000024,1.049999952,1.090000033,42.54000092,185.6799927,0.970000029,0.839999974,
,36:51.0,3/21/2022,7.306882,5.1400855,1.059999943,2.089999914,1.269999981,187.1300049,6.800000191,0.460000008,2,0.400000006,0.200000003,1.059999943,2.789999962,39.25,187.0700073,1.159999967,2.119999886,
,36:53.0,3/21/2022,7.306862,5.1401345,0.779999971,2.109999895,3.670000076,184.3099976,9.899999619,1.039999962,2,0.400000006,0.5,0.779999971,2.109999895,7.519999981,186.2899933,1.00999999,2.369999886,
,36:55.0,3/21/2022,7.3068385,5.140195,0.779999971,1.730000019,3.74000001,182.8500061,10.5,1.350000024,2,0.400000006,0.699999988,0.779999971,1.799999952,14.53999996,185.75,0.660000026,2.50999999,
,36:57.0,3/21/2022,7.3068025,5.1402865,0.779999971,1.039999962,1.149999976,182.7700043,18,5.539999962,2,0.400000006,2.799999952,0.939999998,1.039999962,1.519999981,187.25,1.289999962,0.769999981,31
,36:59.0,3/21/2022,7.3067565,5.1404,0.779999971,1.090000033,0.680000007,180.9400024,15.19999981,6.329999924,2,0.400000006,3.200000048,0.519999981,0.75999999,1.830000043,185.1300049,0.649999976,1.519999981,30
,37:01.0,3/21/2022,7.306715,5.1404975,1.059999943,1.830000043,3.130000114,183.6100006,4.599999905,0.349999994,2.099999905,0.400000006,0.200000003,1.460000038,1.879999995,3.779999971,186.5800018,0.639999986,1.75999999,38
,37:03.0,3/21/2022,7.306688,5.1405585,0.779999971,1.679999948,2.75999999,178.7899933,6.300000191,0.540000021,2,0.400000006,0.300000012,0.519999981,2.430000067,6.53000021,183.6999969,1.220000029,1.679999948,
,37:05.0,3/21/2022,7.306668,5.1406075,0.779999971,2.75999999,2.579999924,189.3899994,3.900000095,0.419999987,2.099999905,0.400000006,0.200000003,0.779999971,2.00999999,3.99000001,192.1199951,1,3.460000038,
,37:07.0,3/21/2022,7.306646,5.1406625,0.779999971,1.039999962,0.200000003,186.1000061,11,3.25999999,2,0.400000006,1.600000024,0.779999971,1.039999962,1.440000057,188.8899994,0.639999986,1.019999981,
,37:09.0,3/21/2022,7.3066175,5.1407255,0.779999971,1.379999995,1.610000014,178.6699982,10.80000019,21.5,2,0.400000006,10.80000019,0.939999998,1.379999995,1.320000052,182.1799927,0.649999976,2.019999981,
,37:11.0,3/21/2022,7.306581,5.14081,0.779999971,1.039999962,1.899999976,177.5,8.5,3.640000105,2,0.400000006,1.799999952,0.519999981,0.689999998,2.960000038,179.6900024,1.279999971,0.75999999,29
,37:13.0,3/21/2022,7.3065375,5.1409045,1.059999943,2.180000067,4.329999924,179.9100037,5.800000191,0.49000001,2,0.400000006,0.200000003,2.130000114,2.410000086,9.130000114,182.5800018,1.230000019,1.970000029,
,37:15.0,3/21/2022,7.306495,5.1409925,0.779999971,2.109999895,2.440000057,180.4299927,4,0.409999996,2,0.400000006,0.200000003,0.779999971,1.700000048,8.369999886,183.6600037,0.689999998,3.059999943,
,37:17.0,3/21/2022,7.3064475,5.141097,0.779999971,1.730000019,2.720000029,176.7799988,4,0.239999995,2,0.400000006,0.100000001,0.779999971,1.730000019,2.25999999,179.7100067,0.660000026,1.639999986,
,37:19.0,3/21/2022,7.306393,5.14123,0.779999971,1.039999962,1.360000014,175.5,4,0.779999971,2,0.400000006,0.400000006,0.779999971,1.25,1.679999948,181.6199951,0.959999979,0.75999999,
,37:23.0,3/21/2022,7.3062775,5.141509,1.700000048,2.400000095,4,86.30000305,6.300000191,0.910000026,2,0.200000003,0.5,1.600000024,2.420000076,9.489999771,142.8200073,1.480000019,3.029999971,
,37:25.0,3/21/2022,7.30622,5.141649,0.389999986,1.460000038,2.279999971,9.220000267,4.199999809,0.079999998,2.900000095,0,0.100000001,0.519999981,1.460000038,5.050000191,7.010000229,0.670000017,1.809999943,
,37:27.0,3/21/2022,7.3061565,5.1418035,0.779999971,2.220000029,5.239999771,4.300000191,5.099999905,0.899999976,2.900000095,0,0.899999976,0.779999971,2.220000029,19.01000023,8.880000114,0.670000017,2.130000114,
,37:29.0,3/21/2022,7.306083,5.1419835,0.779999971,1.090000033,4.159999847,3.75999999,4,0.159999996,2.299999952,0,0.200000003,0.939999998,1.289999962,5.71999979,46.84000015,1.320000052,0.829999983,
,37:31.0,3/21/2022,7.3060015,5.1421875,0.779999971,1.080000043,3.059999943,3.329999924,4,0.100000001,2.200000048,0,0.100000001,0.519999981,1.080000043,4.159999847,5.46999979,0.660000026,0.75,35
,37:33.0,3/21/2022,7.305911,5.1424125,0.779999971,1.039999962,1.269999981,5.75,4,0.569999993,2.900000095,0,0.600000024,0.779999971,1.450000048,1.74000001,5.170000076,0.649999976,1.149999976,35
,37:35.0,3/21/2022,7.305812,5.1426525,1.460000038,2.609999895,3.059999943,8.979999542,6,0.200000003,3.5,0,0.200000003,1.169999957,2,14.30000019,22.45000076,1.25,3.039999962,
,37:37.0,3/21/2022,7.3057085,5.142909,0.779999971,2.430000067,3.180000067,6.389999866,4,0.119999997,2.799999952,0,0.100000001,1.049999952,2.819999933,8.270000458,7.150000095,0.99000001,2.119999886,
,37:39.0,3/21/2022,7.3055985,5.143179,0.389999986,0.839999974,1.74000001,2.640000105,3.900000095,0.090000004,2.299999952,0,0.100000001,0.519999981,0.839999974,3.059999943,13.84000015,0.649999976,1.210000038,
,37:41.0,3/21/2022,7.30548,5.1434615,0.779999971,1.090000033,1.570000052,4.800000191,4,0.800000012,2.299999952,0,0.800000012,0.939999998,1.289999962,1.519999981,4.679999828,0.649999976,1.5,
,37:43.0,3/21/2022,7.305359,5.143757,0.779999971,1.039999962,2.559999943,2.339999914,3.799999952,0.109999999,2.200000048,0,0.100000001,0.519999981,0.689999998,1.710000038,3.680000067,1.299999952,0.790000021,
,37:45.0,3/21/2022,7.3052325,5.144065,1.460000038,2.569999933,3.319999933,7.730000019,4,0.100000001,2.700000048,0,0.100000001,1.460000038,2.309999943,11.43000031,23.29000092,1.220000029,2.50999999,
,37:47.0,3/21/2022,7.3051015,5.1443825,0.779999971,2.160000086,3.460000038,5.570000172,6.900000095,0.360000014,2.799999952,0,0.400000006,0.629999995,2.440000057,5.880000114,13.27999973,0.689999998,2.390000105,
,37:49.0,3/21/2022,7.30497,5.144703,0.889999986,2.140000105,4.480000019,16.18000031,8.199999809,0.029999999,2.200000048,0.200000003,0,1.309999943,1.820000052,2.24000001,49.00999832,1.870000005,2.549999952,
,37:51.0,3/21/2022,7.3048375,5.145023,0.800000012,0.75999999,1.600000024,111.4300003,4.800000191,0.790000021,2,0.300000012,0.800000012,0.779999971,1.220000029,2.869999886,145.2599945,1.24000001,1.529999971,
,37:53.0,3/21/2022,7.304705,5.14534,0.779999971,1.159999967,1.139999986,150.7799988,9.800000191,0.400000006,2,0.300000012,0.400000006,0.779999971,1.159999967,15.72999954,156.7799988,0.670000017,0.850000024,
,37:55.0,3/21/2022,7.3045735,5.145649,0.779999971,1.080000043,2.680000067,133.1799927,7,0.439999998,2.099999905,0.300000012,0.400000006,0.779999971,1.639999986,14.59000015,137.0700073,0.649999976,1.580000043,
,37:57.0,3/21/2022,7.3044435,5.1459535,1.460000038,2.779999971,1.960000038,140.3699951,5,0.330000013,2.299999952,0.400000006,0.300000012,1.460000038,2.400000095,3.859999895,143.9900055,1.899999976,2.430000067,
,37:59.0,3/21/2022,7.3043175,5.1462585,0.779999971,2.549999952,1.649999976,144.4199982,5.800000191,0.140000001,2,0.300000012,0.100000001,0.629999995,2.039999962,3.5,152.5700073,1.019999981,2.029999971,
,38:01.0,3/21/2022,7.3041855,5.1465655,0.879999995,1.320000052,3.230000019,137.9799957,7.199999809,0.079999998,2.099999905,0.200000003,0.100000001,1.25,1.5,4.559999943,141.8899994,1.309999943,1.879999995,
,38:03.0,3/21/2022,7.3040565,5.146879,0.75,1.25,2.230000019,126.5599976,3.700000048,0.140000001,2,0.300000012,0.100000001,0.779999971,1.429999948,1.870000005,154.1699982,0.649999976,1.070000052,
,38:05.0,3/21/2022,7.303931,5.147189,0.779999971,0.519999981,1.75,130.7599945,4.699999809,0.200000003,2.099999905,0.300000012,0.200000003,0.939999998,1.090000033,34.66999817,133.4799957,0.970000029,0.75999999,
,38:07.0,3/21/2022,7.303811,5.147475,1.610000014,2.539999962,3.950000048,100.5699997,7.199999809,0.029999999,2.200000048,0,0,1.559999943,2.380000114,6.869999886,102.0800018,1.429999948,2.50999999,
,38:09.0,3/21/2022,7.303702,5.147725,1.529999971,2.559999943,4.710000038,49.38999939,6.300000191,0.01,2.799999952,0.100000001,0,1.730000019,2.460000038,3.089999914,61.20000076,1.529999971,3.230000019,41
,38:11.0,3/21/2022,7.3036175,5.1479115,1.230000019,2.140000105,2.690000057,152.8600006,6.300000191,0.209999993,2,0.400000006,0.200000003,0.779999971,1.799999952,3.940000057,159.25,1.5,2.150000095,
,38:13.0,3/21/2022,7.303554,5.1480465,0.779999971,1.039999962,1.710000038,153.5399933,3.700000048,0.200000003,2,0.300000012,0.200000003,0.779999971,1.039999962,1.889999986,162.2100067,0.99000001,1.389999986,
,38:15.0,3/21/2022,7.3034865,5.1481865,0.779999971,1.090000033,2.910000086,154.2299957,4.800000191,1.139999986,1.899999976,0.400000006,1.100000024,1.049999952,1.460000038,1.350000024,151.4700012,0.649999976,0.839999974,
,38:17.0,3/21/2022,7.303419,5.1483195,0.699999988,1.230000019,1,163.6000061,4.800000191,0.170000002,2,0.400000006,0.200000003,0.699999988,1.230000019,11.21000004,164.8999939,0.649999976,2.049999952,
,38:19.0,3/21/2022,7.3033775,5.148401,1.149999976,2.269999981,3.289999962,163.0700073,5.900000095,0.270000011,2.099999905,0.400000006,0.300000012,1.139999986,2.269999981,14.73999977,156.9299927,1.230000019,1.75999999,
,38:21.0,3/21/2022,7.303343,5.148469,1.24000001,2.339999914,2.680000067,83.66000366,7.400000095,0.02,2.700000048,0,0,1.24000001,2.130000114,5.539999962,107.3300018,2.920000076,2.099999905,33
,38:23.0,3/21/2022,7.3032975,5.148557,0.779999971,1.639999986,2.029999971,111.0100021,4.800000191,0.189999998,2.400000095,0.300000012,0.200000003,0.779999971,1.320000052,2.019999981,110.2099991,0.670000017,1.870000005,
,38:27.0,3/21/2022,7.3032,5.1487325,0.779999971,1.370000005,2.00999999,107.4199982,4.400000095,0.379999995,2.299999952,0.300000012,0.400000006,1.049999952,1.830000043,6.639999866,110.9199982,0.980000019,1.980000019,
,38:29.0,3/21/2022,7.3031735,5.1487815,1.059999943,1.799999952,2.890000105,110.9000015,3.799999952,0.170000002,2.099999905,0.300000012,0.200000003,1.159999967,2.119999886,4.900000095,114.9800034,1.230000019,1.690000057,
,38:31.0,3/21/2022,7.303136,5.148849,0.779999971,2.430000067,5.909999847,117.75,4.199999809,0.150000006,2.200000048,0.300000012,0.100000001,0.519999981,2.119999886,5.650000095,122.2200012,0.680000007,1.679999948,78
,38:33.0,3/21/2022,7.303084,5.148943,0.779999971,1.679999948,2.160000086,116.2200012,4.400000095,0.129999995,2.099999905,0.300000012,0.100000001,0.779999971,1.340000033,39.61000061,120.3499985,0.670000017,2.140000105,
,38:35.0,3/21/2022,7.3030375,5.1490275,0.779999971,1.210000038,1.74000001,108.1600037,5,0.400000006,2.099999905,0.200000003,0.400000006,0.779999971,1.24000001,11.43999958,110.8899994,0.680000007,1.029999971,
,38:37.0,3/21/2022,7.303005,5.149084,0.779999971,1.080000043,2.769999981,115.1100006,3.900000095,0.119999997,2,0.300000012,0.100000001,0.779999971,1.039999962,3.119999886,120.0500031,0.980000019,1.159999967,
,38:39.0,3/21/2022,7.302965,5.149156,0.389999986,1.200000048,2.309999943,109.1500015,4,0.159999996,2.099999905,0.200000003,0.200000003,0.779999971,1.600000024,16.81999969,115.9000015,0.639999986,1.070000052,
,38:41.0,3/21/2022,7.302911,5.1492525,1.460000038,2.359999895,4.210000038,112.8199997,4.599999905,0.230000004,2.099999905,0.300000012,0.200000003,1.480000019,2.480000019,2.50999999,115.0800018,1.230000019,2.900000095,
,38:43.0,3/21/2022,7.3028435,5.14937,0.779999971,2.200000048,3.019999981,108.1299973,4,0.140000001,2.099999905,0.200000003,0.100000001,0.519999981,1.779999971,7.820000172,113.8499985,0.720000029,2.210000038,
,38:45.0,3/21/2022,7.302765,5.149506,0.779999971,1.360000014,3.289999962,112.2799988,3.700000048,0.25999999,2,0.200000003,0.300000012,0.779999971,1.039999962,3.299999952,117.1699982,0.99000001,1.980000019,
,38:47.0,3/21/2022,7.302676,5.149657,1.25,1.299999952,2.720000029,53.47999954,9.199999809,0.140000001,2.200000048,0.100000001,0.100000001,1.649999976,1.710000038,15.93999958,75.69999695,1.159999967,0.769999981,
,38:49.0,3/21/2022,7.302569,5.149827,0.779999971,1.129999995,2.859999895,5.340000153,6.900000095,0.319999993,3,0,0.300000012,0.629999995,0.899999976,3.579999924,8.350000381,0.670000017,1.49000001,
,38:51.0,3/21/2022,7.3024465,5.150017,1.110000014,1.950000048,3.390000105,15.31999969,5.5,0.02,2.5,0,0,1.450000048,2.779999971,7.480000019,10.93999958,1.379999995,1.769999981,
,38:53.0,3/21/2022,7.30231,5.150226,1.210000038,2.529999971,3.819999933,104.2399979,5.099999905,0.209999993,2.200000048,0.200000003,0.200000003,1.570000052,1.870000005,6.050000191,107.6100006,1.25,2.609999895,
,38:55.0,3/21/2022,7.302156,5.150446,1.25,1.820000052,2.769999981,23.48999977,5.699999809,0.050000001,3.200000048,0,0,1.159999967,1.879999995,4.820000172,73.91999817,1.409999967,3.200000048,
,38:57.0,3/21/2022,7.301997,5.150671,0.629999995,1.129999995,3.569999933,4.199999809,7.599999905,2.450000048,3,0,2.5,0.779999971,1.460000038,2.039999962,9.5,0.680000007,0.889999986,
,38:59.0,3/21/2022,7.301836,5.1508955,1.25,1.269999981,2.220000029,105.3300018,5.900000095,0.01,2.400000095,0.300000012,0,1.659999967,1.269999981,1.809999943,101.1800003,1.370000005,1.330000043,
,39:01.0,3/21/2022,7.3016665,5.1511255,1.919999957,1.659999967,3.059999943,93.56999969,6.300000191,0.07,2.400000095,0.100000001,0.100000001,1.980000019,1.779999971,5.760000229,113.9300003,1.110000014,1.929999948,
,39:03.0,3/21/2022,7.3014875,5.151359,0.389999986,2.430000067,3.279999971,6.130000114,4.400000095,0.379999995,2.799999952,0,0.400000006,1.850000024,2.619999886,7.46999979,10,1.720000029,2.559999943,
,39:05.0,3/21/2022,7.301307,5.1515915,0.949999988,2.420000076,3.190000057,12.88000011,5.599999905,0.01,3.200000048,0,0,1.00999999,2.799999952,4.130000114,28.37000084,0.730000019,2.819999933,
,39:07.0,3/21/2022,7.301134,5.1518005,1.080000043,1.450000048,1.889999986,89.47000122,6,0.180000007,2.200000048,0.200000003,0.200000003,0.920000017,1.409999967,10.28999996,87.54000092,1.629999995,1.789999962,
,39:09.0,3/21/2022,7.300981,5.151976,0.779999971,1.039999962,1.820000052,98.95999908,7.900000095,0.829999983,2.099999905,0.200000003,0.800000012,0.779999971,1.039999962,4.03000021,101.6500015,0.959999979,1.200000048,
,39:11.0,3/21/2022,7.300839,5.152136,0.779999971,0.579999983,1.940000057,97.26000214,8.300000191,0.270000011,2.099999905,0.200000003,0.300000012,0.939999998,0.879999995,0.870000005,102.8700027,0.649999976,0.870000005,
,39:13.0,3/21/2022,7.300702,5.152293,1.529999971,2.369999886,1.789999962,81.83999634,7.099999905,0.029999999,2.099999905,0.100000001,0,1.629999995,2.450000048,5.090000153,88.20999908,1.789999962,2.390000105,
,39:15.0,3/21/2022,7.3005575,5.152454,1.24000001,2.410000086,3.279999971,11.39999962,5.400000095,0.01,3.299999952,0,0,1.330000043,2.200000048,4.019999981,18.47999954,1.289999962,3.539999962,
,39:17.0,3/21/2022,7.300403,5.1526175,0.779999971,2.039999962,2.680000067,9.970000267,5.400000095,0.230000004,3.799999952,0,0.200000003,1.049999952,2.289999962,2.569999933,17.89999962,1.110000014,2.25,
,39:19.0,3/21/2022,7.3002425,5.152781,1.25,1.230000019,2.440000057,34.22000122,5.900000095,0.01,2.099999905,0,0,0.920000017,0.660000026,7.78000021,51.86000061,2.029999971,2.880000114,
,39:21.0,3/21/2022,7.3000765,5.152946,1.100000024,1.00999999,2.359999895,79.91000366,8,0.419999987,2.200000048,0.800000012,0.400000006,1.230000019,1.870000005,3.5,79.33000183,1.139999986,1.179999948,
,39:23.0,3/21/2022,7.2999085,5.15311,1.850000024,0.949999988,5.170000076,7.539999962,8.800000191,0.02,2.299999952,0,0,1.870000005,1.059999943,7.989999771,9.739999771,1.279999971,1.549999952,
,39:25.0,3/21/2022,7.2997405,5.153272,0.779999971,2.950000048,2.690000057,12.38000011,4.599999905,0.129999995,3.200000048,0,0.100000001,0.779999971,2.710000038,3.940000057,19.22999954,1.889999986,3.029999971,
,39:27.0,3/21/2022,7.299567,5.153431,1.24000001,2.829999924,2.130000114,18.77000046,7,0.100000001,6,0,0.100000001,1.649999976,3.059999943,5.5,23.86000061,1.399999976,5.519999981,
,39:29.0,3/21/2022,7.2993825,5.1535965,0.779999971,0.959999979,2.799999952,4.53000021,4.699999809,0.25999999,4,0,0.300000012,0.519999981,0.959999979,1.25999999,11.07999992,1.019999981,1.970000029,
,39:31.0,3/21/2022,7.2991825,5.153771,1.340000033,1.220000029,1.039999962,7.449999809,7.300000191,0.029999999,2.5,0,0,1.340000033,1.220000029,4.010000229,5.070000172,1.610000014,0.889999986,
,39:33.0,3/21/2022,7.298967,5.1539525,1.330000043,1.299999952,3.069999933,14.60999966,7.800000191,0.07,2.400000095,0,0.100000001,1.50999999,1.480000019,1.690000057,24.36000061,1.289999962,1.070000052,144
,39:35.0,3/21/2022,7.2987405,5.1541405,1.529999971,2.640000105,4.130000114,53.47000122,7.400000095,0.079999998,2.599999905,0.100000001,0.100000001,1.529999971,2.089999914,9.840000153,67.34999847,1.629999995,3.640000105,74
,39:37.0,3/21/2022,7.2985105,5.1543325,1,1.929999948,3.00999999,8.470000267,8.199999809,0.100000001,3.799999952,0,0.100000001,1.230000019,2.859999895,8.170000076,8.699999809,2.25,3.710000038,
,39:39.0,3/21/2022,7.298287,5.154516,1.519999981,2.450000048,5.090000153,37.40999985,11.5,0.059999999,2.099999905,0,0.100000001,1.620000005,2.819999933,5.380000114,27.45000076,2.089999914,2.589999914,
,39:41.0,3/21/2022,7.2980685,5.154694,0.779999971,1.129999995,1.460000038,149.6499939,5.300000191,0.180000007,2,0.300000012,0.200000003,0.939999998,1.320000052,6.71999979,156.7700043,1.100000024,1.659999967,
,39:43.0,3/21/2022,7.297852,5.1548785,0.860000014,1.549999952,2.410000086,107.3000031,8.699999809,0.25,2.599999905,0.200000003,0.200000003,1.149999976,1.370000005,3.24000001,119.0899963,1.269999981,2.160000086,28
,39:45.0,3/21/2022,7.2976255,5.1550685,1.289999962,0.899999976,3.019999981,88.77999878,8,0.02,2.5,0.5,0,1.419999957,1.340000033,11.06999969,129.3200073,1.529999971,1.470000029,
,39:47.0,3/21/2022,7.2973925,5.1552615,1.99000001,2.569999933,3.980000019,48.45000076,7.599999905,0.07,2.400000095,0,0.100000001,1.820000052,2.200000048,12.81000042,71.55999756,2.220000029,3.430000067,
,39:49.0,3/21/2022,7.2971575,5.1554565,1.25,2.279999971,2.930000067,15.69999981,6.599999905,0.02,3.299999952,0,0,1.25999999,2.289999962,2.319999933,17.20999908,1.529999971,2.470000029,
,39:51.0,3/21/2022,7.296936,5.155642,1.25,2.279999971,2.579999924,32.56999969,6.900000095,0.059999999,2.099999905,0,0.100000001,1.49000001,2.170000076,2.609999895,79.55000305,1.74000001,2.220000029,
,39:53.0,3/21/2022,7.2967205,5.15582,1.799999952,1.25999999,4.03000021,14.98999977,7.699999809,0.059999999,2.099999905,0,0.100000001,2.25,1.769999981,6.059999943,44.04000092,1.679999948,1.429999948,
,39:55.0,3/21/2022,7.2965085,5.156,1.330000043,0.930000007,2.730000019,7.900000095,6.199999809,0.02,2.200000048,0,0,1.330000043,1.24000001,3.220000029,7.380000114,1.519999981,1.059999943,
,39:57.0,3/21/2022,7.296291,5.156181,1.289999962,1.460000038,4.199999809,8.319999695,5.800000191,0.50999999,2.400000095,0,0.5,0.579999983,1.139999986,6.429999828,25.55999947,1.25,1.600000024,
,39:59.0,3/21/2022,7.2960665,5.156364,0.779999971,3.200000048,2.109999895,87.91000366,6.900000095,0.370000005,2,0.200000003,0.400000006,1.889999986,3.039999962,2.569999933,100.5599976,1.940000057,5.230000019,
,40:01.0,3/21/2022,7.295846,5.156547,0.779999971,1.950000048,1.470000029,110.0599976,4.5,0.07,2,0.200000003,0.100000001,0.939999998,1.950000048,3.220000029,114.1699982,1.00999999,2.359999895,
,40:03.0,3/21/2022,7.2956315,5.156726,0.779999971,1.360000014,2.99000001,108.4199982,4.300000191,0.209999993,2,0.200000003,0.200000003,0.779999971,1.5,3.140000105,114.3099976,0.670000017,1.600000024,
